,title,author,rating,language,release_date,runtime
0,Atomic Habits,James Clear,5.0,English,10-16-18, 5 hrs and 35 mins
1,Spare,Prince Harry The Duke of Sussex,5.0,English,01-10-23, 15 hrs and 39 mins
2,Daisy Jones   The Six,Taylor Jenkins Reid,4.5,English,03-05-19, 9 hrs and 3 mins
3,Lessons in Chemistry,Bonnie Garmus,2.0,English,04-05-22, 11 hrs and 55 mins
4,The Wedding Veil,Kristy Woodson Harvey,5.0,English,03-29-22, 11 hrs and 24 mins
5,The Subtle Art of Not Giving a F ck,Mark Manson,4.0,English,09-13-16, 5 hrs and 17 mins
6,Never Finished,David Goggins,5.0,English,12-06-22, 11 hrs and 6 mins
7,It Ends with Us,Colleen Hoover,4.5,English,08-02-16, 11 hrs and 11 mins
8,I  m Glad My Mom Died,Jennette McCurdy,2.0,English,08-09-22, 6 hrs and 26 mins
9,Someone Else  s Shoes,Jojo Moyes,5.0,English,02-07-23, 12 hrs and 21 mins
10, Harry Potter and the Sorcerer  s Stone,J.K Rowling,4.5,English,11-20-15,8 hrs and 18 mins
11,Remarkably Bright Creatures,Shelby Van Pelt,5.0,English,05-03-22, 11 hrs and 16 mins
12,Verity,Colleen Hoover,4.5,English,05-07-19, 8 hrs and 10 mins
13,Can  t Hurt Me,David Goggins,4.5,English,11-28-18, 13 hrs and 37 mins
14,Demon Copperhead,Barbara Kingsolver,4.5,English,10-18-22, 21 hrs and 3 mins
15,It Starts with Us,Colleen Hoover,4.5,English,10-18-22, 8 hrs and 41 mins
16,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.5,English,06-13-17, 12 hrs and 10 mins
17,12 Rules for Life,Jordan B. Peterson & Norman Doidge MD,4.5,English,01-23-18,15 hrs and 40 mins
18,Greenlights,Matthew McConaughey,4.0,English,10-20-20, 6 hrs and 42 mins
19,8 Rules of Love,Jay Shetty,4.5,English,01-31-23, 10 hrs and 11 mins
